"Date,""Close"",""Open"",""High"",""Low"",""Volume"",""Change in Percentage"""
"27/04/2022,""576,24"",""573,99"",""578,05"",""573,71"",""1,77B"",""-0,11%"""
"26/04/2022,""576,90"",""569,85"",""576,96"",""569,18"",""2,03B"",""1,06%"""
"25/04/2022,""570,86"",""563,79"",""572,35"",""558,23"",""2,11B"",""0,78%"""
"22/04/2022,""566,44"",""566,86"",""572,31"",""562,01"",""2,02B"",""-0,66%"""
"21/04/2022,""570,23"",""566,63"",""572,61"",""565,49"",""2,18B"",""1,16%"""
"20/04/2022,""563,70"",""558,40"",""566,72"",""557,12"",""2,79B"",""1,60%"""
"19/04/2022,""554,81"",""558,36"",""559,56"",""554,33"",""1,62B"",""-0,46%"""
"18/04/2022,""557,34"",""554,93"",""557,91"",""554,77"",""1,53B"",""0,69%"""
"14/04/2022,""553,54"",""558,79"",""559,41"",""553,25"",""1,79B"",""-0,88%"""
"13/04/2022,""558,47"",""556,66"",""559,22"",""554,94"",""2,13B"",""0,90%"""
"12/04/2022,""553,51"",""549,30"",""553,51"",""547,75"",""1,82B"",""0,79%"""
"11/04/2022,""549,19"",""557,54"",""557,54"",""548,51"",""1,81B"",""-1,48%"""
"08/04/2022,""557,45"",""554,81"",""558,53"",""553,12"",""1,76B"",""1,14%"""
"07/04/2022,""551,15"",""550,52"",""553,31"",""548,83"",""1,76B"",""0,33%"""
"06/04/2022,""549,35"",""552,25"",""553,43"",""547,94"",""1,63B"",""-0,99%"""
"05/04/2022,""554,83"",""553,12"",""554,83"",""550,83"",""1,42B"",""0,48%"""
"04/04/2022,""552,17"",""549,41"",""552,17"",""546,26"",""1,34B"",""0,58%"""
"01/04/2022,""548,96"",""548,89"",""549,46"",""544,20"",""1,88B"",""0,52%"""
"31/03/2022,""546,13"",""549,59"",""551,44"",""544,89"",""1,98B"",""-0,23%"""
"30/03/2022,""547,37"",""548,11"",""548,31"",""544,35"",""2,59B"",""0,48%"""
"29/03/2022,""544,75"",""549,70"",""551,64"",""544,31"",""2,05B"",""-0,84%"""
"28/03/2022,""549,37"",""543,74"",""549,87"",""542,34"",""2,33B"",""0,95%"""
"25/03/2022,""544,18"",""548,83"",""549,20"",""541,01"",""2,01B"",""-0,87%"""
"24/03/2022,""548,95"",""539,02"",""548,95"",""538,51"",""2,42B"",""1,53%"""
"23/03/2022,""540,70"",""542,04"",""543,10"",""537,72"",""2,09B"",""-0,03%"""
"22/03/2022,""540,88"",""539,00"",""541,19"",""537,59"",""2,24B"",""0,83%"""
"21/03/2022,""536,42"",""535,64"",""538,89"",""533,61"",""1,89B"",""-0,02%"""
"18/03/2022,""536,52"",""540,46"",""541,61"",""534,39"",""3,59B"",""-0,33%"""
"17/03/2022,""538,28"",""545,02"",""546,13"",""537,00"",""2,86B"",""-0,83%"""
"16/03/2022,""542,79"",""540,15"",""542,79"",""537,42"",""2,79B"",""1,19%"""
"15/03/2022,""536,42"",""539,87"",""542,49"",""534,35"",""2,56B"",""-0,29%"""
"14/03/2022,""537,97"",""538,48"",""540,34"",""534,86"",""2,69B"",""0,53%"""
"11/03/2022,""535,14"",""528,71"",""535,14"",""527,42"",""2,09B"",""0,09%"""
"10/03/2022,""534,68"",""537,99"",""538,38"",""528,76"",""2,75B"",""0,12%"""
"09/03/2022,""534,02"",""534,11"",""537,47"",""531,13"",""2,98B"",""0,56%"""
"08/03/2022,""531,06"",""534,86"",""541,52"",""529,71"",""4,80B"",""0,08%"""
"07/03/2022,""530,63"",""530,46"",""532,65"",""527,04"",""3,52B"",""-0,47%"""
"04/03/2022,""533,11"",""531,55"",""533,48"",""527,48"",""3,10B"",""1,84%"""
"02/03/2022,""523,51"",""532,73"",""534,30"",""522,42"",""2,20B"",""-0,97%"""
"01/03/2022,""528,63"",""539,44"",""540,47"",""528,63"",""3,06B"",""0,18%"""
"25/02/2022,""527,70"",""522,33"",""528,71"",""521,40"",""2,65B"",""1,26%"""
"24/02/2022,""521,12"",""525,16"",""527,95"",""514,77"",""3,04B"",""-1,15%"""
"23/02/2022,""527,20"",""522,75"",""527,20"",""521,27"",""1,87B"",""1,27%"""
