ds,yhat1
2020-12-12,6537.551
2020-12-13,6565.3633
2020-12-14,6591.348
2020-12-15,6630.0547
2020-12-16,6603.8276
2020-12-17,6743.2256
2020-12-18,6722.8135
2020-12-19,6589.0654
2020-12-20,6595.7295
2020-12-21,6601.588
2020-12-22,6621.543
2020-12-23,6514.5825
2020-12-24,6513.1313
2020-12-25,6520.6855
2020-12-26,6530.688
2020-12-27,6543.6377
2020-12-28,6556.2637
2020-12-29,6582.711
2020-12-30,6575.8
2020-12-31,6573.389
2021-01-01,6585.1216
2021-01-02,6597.627
2021-01-03,6611.37
2021-01-04,6623.365
2021-01-05,6647.757
2021-01-06,6893.1646
2021-01-07,6742.749
2021-01-08,6756.0117
2021-01-09,6832.366
2021-01-10,6923.474
2021-01-11,7013.8467
2021-01-12,7117.874
2021-01-13,6943.979
2021-01-14,6894.044
2021-01-15,6794.397
2021-01-16,6729.8174
2021-01-17,6781.741
2021-01-18,6832.789
2021-01-19,6897.174
2021-01-20,6876.6895
2021-01-21,6865.3525
2021-01-22,6841.993
2021-01-23,6843.7217
2021-01-24,6828.5654
2021-01-25,6812.6284
2021-01-26,6810.292
2021-01-27,6609.351
2021-01-28,6570.5605
2021-01-29,6672.6187
2021-01-30,6538.497
2021-01-31,6559.5234
2021-02-01,6579.714
2021-02-02,6613.4316
2021-02-03,6600.473
2021-02-04,6616.008
2021-02-05,6642.6465
2021-02-06,6698.7217
2021-02-07,6700.912
2021-02-08,6701.337
2021-02-09,6714.7373
2021-02-10,6774.4766
2021-02-11,6705.4375
2021-02-12,6662.2554
2021-02-13,6639.782
2021-02-14,6619.81
2021-02-15,6599.4053
2021-02-16,6593.0146
2021-02-17,6730.971
2021-02-18,6683.8135
2021-02-19,6525.2227
2021-02-20,6611.13
2021-02-21,6602.5312
2021-02-22,6592.9326
2021-02-23,6596.231
2021-02-24,6634.824
2021-02-25,6529.734
2021-02-26,6507.1934
2021-02-27,6508.9185
2021-02-28,6613.8154
2021-03-01,6717.0537
2021-03-02,6833.409
2021-03-03,6806.2393
2021-03-04,6779.0195
2021-03-05,6507.01
2021-03-06,6579.581
2021-03-07,6553.579
2021-03-08,6527.0938
2021-03-09,6514.6177
2021-03-10,6409.967
2021-03-11,6495.709
2021-03-12,6521.9785
2021-03-13,6549.314
2021-03-14,6518.247
2021-03-15,6485.5234
2021-03-16,6465.4697
2021-03-17,6429.749
2021-03-18,6402.6816
2021-03-19,6486.952
2021-03-20,6534.2217
2021-03-21,6486.8423
2021-03-22,6438.8325
2021-03-23,6404.709
2021-03-24,6354.788
2021-03-25,6224.824
2021-03-26,6155.218
2021-03-27,6197.492
2021-03-28,6182.6323
2021-03-29,6167.5234
2021-03-30,6166.2207
2021-03-31,6207.298
2021-04-01,6029.193
2021-04-02,6038.5444
2021-04-03,6022.5283
2021-04-04,6007.8203
2021-04-05,5991.297
2021-04-06,5987.0186
2021-04-07,5998.2886
2021-04-08,6067.1104
2021-04-09,6033.8457
2021-04-10,6092.06
2021-04-11,6046.1426
2021-04-12,5999.31
2021-04-13,5966.03
2021-04-14,5905.1753
2021-04-15,6187.3096
2021-04-16,6158.4043
2021-04-17,6150.3433
2021-04-18,6147.9688
2021-04-19,6144.495
2021-04-20,6154.578
2021-04-21,6123.522
2021-04-22,6044.282
2021-04-23,6087.6235
2021-04-24,6252.9214
2021-04-25,6217.808
2021-04-26,6181.5728
2021-04-27,6159.2095
2021-04-28,6277.922
2021-04-29,6185.1367
2021-04-30,6268.5137
2021-05-01,6262.399
2021-05-02,6258.785
2021-05-03,6254.731
2021-05-04,6264.205
2021-05-05,6279.741
2021-05-06,6295.2163
2021-05-07,6293.1113
2021-05-08,6268.181
2021-05-09,6275.152
2021-05-10,6280.815
2021-05-11,6299.2715
2021-05-12,6360.1733
2021-05-13,6351.673
2021-05-14,6350.109
2021-05-15,6350.203
2021-05-16,6352.794
2021-05-17,6354.937
2021-05-18,6371.1245
2021-05-19,6269.986
2021-05-20,6217.9287
2021-05-21,6250.6855
2021-05-22,6232.234
2021-05-23,6224.176
2021-05-24,6215.123
2021-05-25,6219.113
2021-05-26,6254.308
2021-05-27,6204.341
2021-05-28,6160.676
2021-05-29,6226.121
2021-05-30,6236.7334
2021-05-31,6245.7686
2021-06-01,6267.681
2021-06-02,6313.0464
2021-06-03,6343.8154
2021-06-04,6469.029
2021-06-05,6446.196
2021-06-06,6429.457
2021-06-07,6412.6025
2021-06-08,6410.075
2021-06-09,6318.2456
2021-06-10,6405.3604
2021-06-11,6489.8555
2021-06-12,6343.9746
2021-06-13,6325.2363
2021-06-14,6304.964
