ds,interest_income,interest_expense,net_profit,personnel_expense,total_assets,total_loans,current_accounts,savings_accounts,time_deposits
2024-07-31,50686.416,6731.407,31396.033,9374.974,1379197.093,32340.65,44494.469,59846.571,96365.946
2024-08-31,58272.982,7725.753,35990.685,10577.153,1400604.114,42705.785,46657.005,57482.789,98144.531
2024-10-31,73365.224,9701.835,46226.027,12928.113,1396684.24,58062.031,46257.258,56849.107,97019.616
2024-11-30,80816.346,10659.079,50472.852,14110.0,1415407.416,75782.049,63089.972,51762.62,94607.21
2025-01-31,7726.284,1029.439,4726.267,1555.051,1430855.803,93025.912,61773.05,63284.937,95409.764
2025-02-28,14868.07,1991.413,8975.717,3059.147,1427410.405,659.693,52911.075,68596.812,96166.266
2025-04-30,30345.087,4080.28,20211.428,5595.378,1456437.422,23096.22,65398.551,85873.512,96483.336
2025-05-31,38295.167,5175.074,25162.919,6843.446,1467183.209,24262.398,80484.41,80096.776,94635.534
2025-07-31,53798.132,7246.524,34707.591,9414.647,1466750.654,23512.447,81963.696,87217.978,92874.323
2025-08-31,61382.11,8265.186,39058.614,10727.148,1476024.326,20872.163,90069.489,79228.625,90836.075
2025-10-31,76761.213,10285.607,48256.793,13372.418,1498655.101,23540.867,1240.158,90496.504,87942.297
2025-11-30,84307.488,11270.479,52666.603,14700.903,1527217.097,21197.622,18904.532,94226.488,86611.262
